Табельный номер,Фамилия.И.О.,Пол,Год рождения,Год начала работы,Подразделение экономической деятельности,Должность,Состояние,Колличество предприятий
140,Шетнев Г. Э.,Мужчина,1983,2013,Республика Татарстан,Руб Миллиардер,997000000,3
141,Журавлёва Ю. К.,Женщина,1974,2022,Казанская область,Долл Миллионер,977000000,6
142,Козелл Г. Ё.,Мужчина,1963,2004,Республика Татарстан,Долл Миллиардер,311000000,0
143,Полякова Я. С.,Женщина,1965,2015,Республика Татарстан,Долл Миллиардер,224000000,2
144,Русских Э. Щ.,Мужчина,1986,2022,Ульяновская область,Руб Миллионер,773000000,8
145,Виниченко Ц. Ш.,Мужчина,1961,1999,Ульяновская область,Руб Миллиардер,653000000,11
146,Крылова Ж. П.,Женщина,1958,2014,Казанская область,Долл Миллиардер,935000000,11
147,Миронова Б. Б.,Женщина,1984,2022,Казанская область,Руб Миллиардер,996000000,11
148,Наговицын У. Д.,Мужчина,1967,1993,Казанская область,Долл Миллионер,734000000,1
149,Вознесенский Ц. У.,Мужчина,1962,2022,Казанская область,Руб Миллиардер,787000000,5
150,Мухина Ж. Р.,Женщина,1975,2022,Ульяновская область,Руб Миллиардер,161000000,1
151,Киселёва Л. Ц.,Женщина,1958,1974,Республика Татарстан,Долл Миллиардер,946000000,1
152,Жукова Д. Л.,Женщина,1975,2022,Казанская область,Руб Миллионер,780000000,3
153,Ларченко Ч. Ю.,Мужчина,1966,2003,Республика Татарстан,Долл Миллиардер,102000000,7
154,Киселёва Д. Ё.,Женщина,1969,2022,Республика Татарстан,Долл Миллиардер,512000000,14
155,Флегонтов И. Р.,Мужчина,1955,2022,Казанская область,Руб Миллиардер,547000000,10
156,Шапира Ж. Т.,Мужчина,1980,2022,Ульяновская область,Долл Миллиардер,657000000,15
157,Шестакова З. Б.,Женщина,1985,2022,Республика Татарстан,Долл Миллионер,335000000,9
158,Питонов Р. М.,Мужчина,1992,2022,Казанская область,Руб Миллионер,777000000,0
159,Петюнин С. Я.,Мужчина,1964,2022,Республика Татарстан,Руб Миллионер,922000000,9
160,Шелогин Й. С.,Мужчина,1959,2022,Ульяновская область,Долл Миллиардер,964000000,13
161,Медведева Р. П.,Женщина,2003,2022,Республика Татарстан,Долл Миллиардер,221000000,11
162,Гусева Т. В.,Женщина,1955,1992,Республика Татарстан,Руб Миллионер,602000000,1
163,Кулигин Т. К.,Мужчина,1986,2022,Казанская область,Руб Миллионер,258000000,4
164,Гребенщиков Б. Х.,Мужчина,1992,2018,Казанская область,Долл Миллиардер,229000000,2
165,Куприк М. Ц.,Мужчина,1999,2022,Ульяновская область,Долл Миллионер,617000000,0
166,Тимошевич О. В.,Мужчина,1997,2022,Ульяновская область,Долл Миллионер,204000000,3
167,Сергеева У. Ф.,Женщина,1988,2000,Республика Татарстан,Долл Миллионер,814000000,14
168,Попадьин Ц. Х.,Мужчина,1982,2022,Казанская область,Долл Миллиардер,807000000,15
169,Суворова Ч. Л.,Женщина,1987,2001,Ульяновская область,Долл Миллиардер,172000000,1
170,Маслова М. Й.,Женщина,1977,2022,Ульяновская область,Руб Миллиардер,98000000,7
171,Орлова Щ. Й.,Женщина,1975,2022,Ульяновская область,Руб Миллионер,931000000,8
172,Сайков Н. Ю.,Мужчина,1976,1993,Казанская область,Руб Миллиардер,108000000,9
173,Фадеев Ю. Ф.,Мужчина,1953,1971,Республика Татарстан,Долл Миллионер,981000000,9
174,Лавриков А. А.,Мужчина,1954,2022,Республика Татарстан,Руб Миллионер,246000000,12
175,Степанова Ю. Н.,Женщина,1965,2011,Республика Татарстан,Руб Миллиардер,766000000,8
176,Осипова З. П.,Женщина,2002,2022,Республика Татарстан,Долл Миллиардер,106000000,12
177,Якобсон Й. С.,Мужчина,1993,2022,Республика Татарстан,Долл Миллионер,990000000,2
178,Давыдова Ш. Ж.,Женщина,1993,2022,Ульяновская область,Долл Миллионер,205000000,0
179,Каширцев Ф. В.,Мужчина,1987,2022,Казанская область,Долл Миллиардер,264000000,13
180,Щербакова С. Э.,Женщина,1999,2022,Ульяновская область,Руб Миллионер,824000000,12
181,Ершова Б. С.,Женщина,1973,2022,Республика Татарстан,Долл Миллиардер,778000000,10
182,Щербакова Й. В.,Женщина,1971,1994,Казанская область,Долл Миллиардер,965000000,15
183,Косоротов Ж. Щ.,Мужчина,1967,2022,Республика Татарстан,Долл Миллиардер,657000000,9
184,Фролова Э. З.,Женщина,1971,2022,Казанская область,Руб Миллиардер,68000000,1
185,Садомов А. Р.,Мужчина,1980,2022,Казанская область,Долл Миллионер,598000000,8
186,Ртищев Щ. В.,Мужчина,1959,2022,Ульяновская область,Долл Миллионер,398000000,6
187,Полякова М. М.,Женщина,1965,2022,Казанская область,Долл Миллионер,171000000,15
188,Орлова Р. Р.,Женщина,1985,2022,Ульяновская область,Руб Миллиардер,982000000,8
189,Мартышкин Ф. Х.,Мужчина,1975,1996,Ульяновская область,Долл Миллиардер,753000000,12
190,Востров Н. З.,Мужчина,1958,2022,Ульяновская область,Руб Миллиардер,947000000,8
191,Дудник Г. Г.,Мужчина,1981,2022,Казанская область,Руб Миллиардер,65000000,3
192,Карандышев Г. Я.,Мужчина,1964,2022,Казанская область,Долл Миллионер,661000000,6
193,Жукова Ж. Х.,Женщина,2006,2022,Республика Татарстан,Долл Миллионер,878000000,13
194,Серебряный Я. М.,Мужчина,1998,2022,Ульяновская область,Руб Миллиардер,386000000,11
195,Малявин Ю. А.,Мужчина,1973,2022,Ульяновская область,Долл Миллионер,199000000,10
196,Роговский Н. Т.,Мужчина,2004,2022,Ульяновская область,Руб Миллионер,910000000,12
197,Куликова У. Ч.,Женщина,1959,2022,Республика Татарстан,Долл Миллиардер,563000000,5
198,Чекалов О. Ц.,Мужчина,1993,2014,Ульяновская область,Руб Миллионер,491000000,12
199,Щигровский И. Т.,Мужчина,1967,1999,Республика Татарстан,Долл Миллиардер,322000000,2
200,Фролова Ц. С.,Женщина,1962,2013,Ульяновская область,Руб Миллионер,274000000,11
201,Соболева В. С.,Женщина,1964,2022,Казанская область,Долл Миллионер,110000000,7
202,Пономарёва Б. З.,Женщина,2004,2022,Ульяновская область,Долл Миллиардер,147000000,12
203,Горшкова В. И.,Женщина,1984,2022,Казанская область,Долл Миллиардер,494000000,3
204,Захарова Т. Я.,Женщина,2005,2022,Ульяновская область,Руб Миллионер,480000000,14
205,Девяткин Щ. У.,Мужчина,1983,2022,Республика Татарстан,Руб Миллионер,523000000,6
206,Калинина Б. С.,Женщина,1985,2018,Казанская область,Долл Миллиардер,7000000,12
207,Безызвестных Й. К.,Мужчина,2001,2022,Республика Татарстан,Руб Миллионер,575000000,11
208,Балмашов Э. Ш.,Мужчина,1989,2022,Казанская область,Руб Миллионер,931000000,0
209,Фарапонов Г. М.,Мужчина,1999,2022,Ульяновская область,Руб Миллиардер,54000000,1
210,Кузьмина Р. О.,Женщина,2006,2022,Ульяновская область,Долл Миллиардер,220000000,11
211,Фролова Ё. Ж.,Женщина,1979,2015,Казанская область,Руб Миллиардер,789000000,9
212,Вакульчук Д. Н.,Мужчина,1986,2022,Казанская область,Руб Миллионер,152000000,7
213,Горбышев С. И.,Мужчина,1957,2022,Казанская область,Руб Миллиардер,659000000,4
214,Калугин Г. П.,Мужчина,1959,2022,Ульяновская область,Руб Миллионер,144000000,10
215,Гаврилова Ч. Ф.,Женщина,1965,2016,Ульяновская область,Долл Миллиардер,584000000,2
216,Горшкова Я. Ф.,Женщина,2001,2022,Ульяновская область,Руб Миллионер,695000000,6
217,Глебов С. Х.,Мужчина,1992,2022,Республика Татарстан,Руб Миллионер,442000000,15
218,Наполеонов О. Л.,Мужчина,1957,1972,Ульяновская область,Долл Миллиардер,106000000,12
219,Татьянич Й. Д.,Мужчина,2002,2022,Республика Татарстан,Руб Миллиардер,339000000,3
220,Копылова Ж. У.,Женщина,1995,2022,Республика Татарстан,Руб Миллионер,645000000,12
221,Пилипюк Т. Я.,Мужчина,1987,1999,Ульяновская область,Руб Миллиардер,537000000,15
222,Кузьмичев Д. Т.,Мужчина,1987,2022,Республика Татарстан,Руб Миллиардер,538000000,4
223,Комарова Ж. Т.,Женщина,1979,2022,Ульяновская область,Долл Миллиардер,629000000,11
224,Глубоковсих Ф. Э.,Мужчина,1980,2022,Ульяновская область,Руб Миллиардер,366000000,14
225,Оловянников Ф. Е.,Мужчина,1980,2022,Ульяновская область,Руб Миллионер,315000000,14
226,Поляничкин Ф. У.,Мужчина,1961,2016,Ульяновская область,Долл Миллионер,651000000,0
227,Беляева Г. С.,Женщина,1970,1994,Ульяновская область,Долл Миллиардер,564000000,14
228,Мазыра Ц. Г.,Мужчина,2007,2022,Ульяновская область,Руб Миллиардер,620000000,2
229,Большакова З. В.,Женщина,1962,2022,Республика Татарстан,Долл Миллиардер,955000000,0
230,Тарасенко Ж. Е.,Мужчина,1984,2022,Ульяновская область,Руб Миллионер,236000000,12
231,Дудоров М. Ж.,Мужчина,1953,2022,Ульяновская область,Долл Миллионер,444000000,8
232,Маркова Ж. Ю.,Женщина,1986,2006,Казанская область,Руб Миллионер,646000000,12
233,Трегубо Щ. З.,Мужчина,1996,2022,Казанская область,Долл Миллионер,40000000,13
234,Маркова В. Ж.,Женщина,2003,2022,Казанская область,Долл Миллионер,285000000,9
235,Сергеева Л. Ч.,Женщина,2010,2022,Республика Татарстан,Долл Миллионер,527000000,6
236,Карпова С. Ж.,Женщина,1974,2019,Республика Татарстан,Долл Миллиардер,252000000,10
237,Борисова А. Ё.,Женщина,2003,2022,Республика Татарстан,Долл Миллионер,105000000,9
238,Розторгуев Б. Л.,Мужчина,1954,2022,Казанская область,Долл Миллиардер,214000000,11
239,Макарова Т. Э.,Женщина,2002,2018,Республика Татарстан,Долл Миллиардер,776000000,13
240,Пшеничников Л. Я.,Мужчина,1963,2022,Казанская область,Долл Миллиардер,389000000,13
241,Шестакова Я. Ш.,Женщина,1960,2022,Казанская область,Долл Миллиардер,188000000,8
242,Авдаков Я. Л.,Мужчина,1978,2022,Республика Татарстан,Руб Миллионер,532000000,13
243,Каргополов К. Е.,Мужчина,1993,2022,Казанская область,Долл Миллиардер,105000000,3
244,Афанасьева Т. Т.,Женщина,1986,2022,Казанская область,Долл Миллионер,976000000,13
245,Миронова С. И.,Женщина,1984,2022,Ульяновская область,Руб Миллионер,532000000,5
246,Хитин К. Ж.,Мужчина,1957,2022,Республика Татарстан,Руб Миллионер,64000000,12
247,Быкова Ш. Б.,Женщина,1994,2022,Ульяновская область,Руб Миллиардер,150000000,7
248,Коновалова Л. К.,Женщина,1958,1991,Республика Татарстан,Долл Миллиардер,452000000,9
249,Степанова К. А.,Женщина,1992,2022,Республика Татарстан,Руб Миллионер,129000000,9
250,Савельева Ч. Ё.,Женщина,2008,2022,Ульяновская область,Руб Миллионер,498000000,13
251,Мартынова Ж. К.,Женщина,2009,2022,Республика Татарстан,Руб Миллионер,612000000,13
252,Александрова Ж. Б.,Женщина,2005,2022,Казанская область,Руб Миллионер,387000000,3
253,Догоног Ц. З.,Мужчина,1994,2022,Казанская область,Руб Миллиардер,997000000,15
254,Миронова Д. Ё.,Женщина,1983,2022,Ульяновская область,Руб Миллионер,843000000,11
255,Медовников Р. Т.,Мужчина,1986,2022,Ульяновская область,Руб Миллионер,598000000,10
256,Жукова Я. Э.,Женщина,1985,2022,Ульяновская область,Руб Миллионер,304000000,1
257,Автомонов О. П.,Мужчина,1967,2022,Казанская область,Руб Миллионер,570000000,13
258,Финогенов Т. Ё.,Мужчина,1952,1983,Казанская область,Руб Миллионер,830000000,1
259,Янюшкин Ц. Э.,Мужчина,1989,2022,Ульяновская область,Руб Миллионер,802000000,2
260,Кокурин Л. Ш.,Мужчина,1957,1989,Ульяновская область,Руб Миллиардер,135000000,15
261,Гайдучков М. З.,Мужчина,1977,2022,Республика Татарстан,Долл Миллиардер,412000000,5
262,Кованьков Ж. Й.,Мужчина,1998,2022,Казанская область,Долл Миллионер,433000000,2
263,Кадышев Ч. О.,Мужчина,1990,2022,Казанская область,Руб Миллионер,934000000,5
264,Насекин В. Н.,Мужчина,1968,2022,Казанская область,Руб Миллионер,38000000,1
265,Степанова Н. Т.,Женщина,1975,2016,Ульяновская область,Долл Миллионер,590000000,8
266,Басистов Ё. Е.,Мужчина,1958,1999,Республика Татарстан,Руб Миллиардер,783000000,12
267,Данилова Т. Я.,Женщина,2007,2022,Республика Татарстан,Руб Миллиардер,198000000,2
268,Олупов С. К.,Мужчина,1971,2012,Ульяновская область,Руб Миллиардер,715000000,14
269,Городнов Л. Ё.,Мужчина,1998,2022,Казанская область,Руб Миллионер,660000000,1
270,Аксёнова Х. И.,Женщина,1955,2006,Казанская область,Долл Миллионер,800000000,13
271,Осоргин В. Г.,Мужчина,1978,2022,Республика Татарстан,Долл Миллиардер,108000000,12
272,Трусаков И. Е.,Мужчина,1951,1969,Республика Татарстан,Руб Миллионер,193000000,0
273,Тихонова А. Щ.,Женщина,1969,1984,Республика Татарстан,Долл Миллионер,112000000,14
274,Максимова Т. Л.,Женщина,1976,2022,Казанская область,Долл Миллионер,303000000,6
275,Лаврин Б. М.,Мужчина,1962,2022,Республика Татарстан,Руб Миллионер,736000000,0
276,Сквирский Ц. М.,Мужчина,1977,1991,Ульяновская область,Руб Миллиардер,158000000,1
277,Калинина Щ. З.,Женщина,1964,2015,Ульяновская область,Руб Миллионер,781000000,10
278,Колесникова Д. М.,Женщина,1966,2022,Республика Татарстан,Долл Миллионер,473000000,2
279,Полякова З. Й.,Женщина,1950,2022,Ульяновская область,Долл Миллиардер,129000000,11
280,Швед Ф. Ж.,Мужчина,1990,2022,Республика Татарстан,Долл Миллиардер,997000000,1
281,Рагозинин Ж. С.,Мужчина,1968,2022,Ульяновская область,Руб Миллионер,833000000,15
282,Трофимова Б. С.,Женщина,1993,2011,Казанская область,Руб Миллиардер,624000000,11
283,Емельянова Щ. Ц.,Женщина,1956,2010,Казанская область,Руб Миллионер,438000000,7
284,Щербакова Ц. Е.,Женщина,1986,2022,Ульяновская область,Руб Миллионер,399000000,2
285,Исакова Д. Б.,Женщина,1976,2022,Республика Татарстан,Долл Миллионер,929000000,12
286,Веденялин Е. Ч.,Мужчина,1987,2022,Ульяновская область,Долл Миллиардер,589000000,7
